0,0.13361407084577728,2018-04-05
1,0.1362585803373965,2018-04-06
2,0.14531586519794254,2018-04-07
3,0.09716564562868418,2018-04-08
4,0.08816656720160342,2018-04-09
5,0.0716167105602633,2018-04-10
6,0.10563238715588591,2018-04-11
7,0.13701339427631848,2018-04-12
8,0.12691941570799264,2018-04-13
9,0.14888312645742927,2018-04-14
10,0.11972739621959995,2018-04-15
11,0.12198000986460888,2018-04-16
12,0.06685718031052387,2018-04-17
13,0.07288021984271226,2018-04-18
14,0.058555516931302024,2018-04-19
15,0.06250262526793973,2018-04-20
16,0.07239740415722633,2018-04-21
17,0.09179571133820494,2018-04-22
18,0.09289250764687124,2018-04-23
19,0.10990061923086436,2018-04-24
20,0.07967733407539741,2018-04-25
21,0.07202765888865612,2018-04-26
22,0.055977613918180416,2018-04-27
23,0.04084205749716298,2018-04-28
24,0.06064458842950385,2018-04-29
25,0.06330264184530074,2018-04-30
26,0.11520155158400526,2018-05-01
27,0.14443934976042008,2018-05-02
28,0.13289557041566097,2018-05-03
29,0.1133677631831842,2018-05-04
30,0.10658756185750634,2018-05-05
31,0.07169316617009495,2018-05-06
32,0.09468242618913486,2018-05-07
33,0.10569543958910686,2018-05-08
34,0.11862742061948865,2018-05-09
35,0.13868004210312526,2018-05-10
36,0.14715843425588232,2018-05-11
37,0.13347870219082,2018-05-12
38,0.06658175188313536,2018-05-13
39,0.047107295541077544,2018-05-14
40,0.03494767127387342,2018-05-15
41,0.031808701483849164,2018-05-16
42,0.07346445486428993,2018-05-17
43,0.07624721686748685,2018-05-18
44,0.06776458625508991,2018-05-19
45,0.10395179766316896,2018-05-20
46,0.08658485147873213,2018-05-21
47,0.06120220795641118,2018-05-22
48,0.04435558117007411,2018-05-23
49,0.052267761418810885,2018-05-24
50,0.0634992780191901,2018-05-25
51,0.07286930481862414,2018-05-26
52,0.1182405258310844,2018-05-27
53,0.13285729892961254,2018-05-28
54,0.16851640131245063,2018-05-29
55,0.14487685463983224,2018-05-30
56,0.12446275189033391,2018-05-31
57,0.10557271081376265,2018-06-01
58,0.08728589463420273,2018-06-02
59,0.1336144748859232,2018-06-03
60,0.08195709290311731,2018-06-04
61,0.12085324378894728,2018-06-05
62,0.12539149139204525,2018-06-06
63,0.1300724828539597,2018-06-07
64,0.08950736175830817,2018-06-08
65,0.06333177595068834,2018-06-09
66,0.06177096521544275,2018-06-10
67,0.0510989681806543,2018-06-11
68,0.028317104692125186,2018-06-12
69,0.026297154981556475,2018-06-13
70,0.08090465886849477,2018-06-14
71,0.1016407786869217,2018-06-15
72,0.09790557029695586,2018-06-16
73,0.09363642970505962,2018-06-17
74,0.10232321838439278,2018-06-18
75,0.08991264064807454,2018-06-19
76,0.05565475931601934,2018-06-20
77,0.10866910812693896,2018-06-21
78,0.08434457985531507,2018-06-22
79,0.10330301587268798,2018-06-23
80,0.1655836380153387,2018-06-24
81,0.13181642511569625,2018-06-25
82,0.14567670260498516,2018-06-26
83,0.09220360972523804,2018-06-27
84,0.08936678771646514,2018-06-28
85,0.08071596728647616,2018-06-29
86,0.0646030765011328,2018-06-30
87,0.07294897892759004,2018-07-01
88,0.08182840510950509,2018-07-02
89,0.09402013001750954,2018-07-03
90,0.08681036090945464,2018-07-04
91,0.10431847589340845,2018-07-05
92,0.03979785473287572,2018-07-06
93,0.029478489603716327,2018-07-07
94,0.03978353311602542,2018-07-08
95,0.04274408055164888,2018-07-09
96,0.039696485575211556,2018-07-10
97,0.0762497730010227,2018-07-11
98,0.09802393242257164,2018-07-12
99,0.11548007631678738,2018-07-13
100,0.11591751637756854,2018-07-14
101,0.09075689164859221,2018-07-15
102,0.11150656929685422,2018-07-16
103,0.06454021273621319,2018-07-17
104,0.0797962973053465,2018-07-18
105,0.09644354680297731,2018-07-19
106,0.12862610310613862,2018-07-20
107,0.13244021856964894,2018-07-21
108,0.152201028238908,2018-07-22
109,0.13618363190902172,2018-07-23
110,0.13702086288799825,2018-07-24
111,0.08264630705451921,2018-07-25
112,0.07391248158697508,2018-07-26
113,0.05514391686676405,2018-07-27
114,0.06820334484031562,2018-07-28
115,0.11041361633630406,2018-07-29
116,0.0735396101939097,2018-07-30
117,0.09937789710875418,2018-07-31
118,0.0864970964346878,2018-08-01
119,0.05349357843616592,2018-08-02
120,0.04991272171158049,2018-08-03
121,0.039921979957692755,2018-08-04
122,0.030602705677648796,2018-08-05
123,0.07237337765918733,2018-08-06
124,0.08070721784809257,2018-08-07
125,0.14073155705372958,2018-08-08
126,0.13338908221116683,2018-08-09
127,0.13606781472675505,2018-08-10
128,0.11051989456957413,2018-08-11
129,0.09599679129736345,2018-08-12
130,0.11239815853182798,2018-08-13
131,0.14605506415081368,2018-08-14
132,0.09507562446218812,2018-08-15
133,0.13152867477414207,2018-08-16
134,0.13654652145221344,2018-08-17
135,0.16235594014784752,2018-08-18
136,0.10969307136557305,2018-08-19
137,0.10387810119591981,2018-08-20
138,0.059999415073941575,2018-08-21
139,0.04636597074512589,2018-08-22
140,0.05449753529350907,2018-08-23
141,0.05407206498143974,2018-08-24
142,0.04851755492161912,2018-08-25
143,0.07460357080754483,2018-08-26
144,0.09435465432966844,2018-08-27
145,0.09713872193958414,2018-08-28
146,0.07369221192684863,2018-08-29
147,0.052460306977955506,2018-08-30
148,0.02862847959189313,2018-08-31
149,0.055640529290457125,2018-09-01
150,0.057549216692133774,2018-09-02
151,0.1076079411037725,2018-09-03
152,0.12142590750623454,2018-09-04
153,0.16843572027486273,2018-09-05
154,0.1518013547841511,2018-09-06
